Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Automotive Funnels,PIM_13303
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Fluid Extraction,PIM_13301
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Fuel & Oil Cans,PIM_13302
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Fuel Can Spouts,PIM_14333
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Fuel Transfer Pumps (Battery-Powered),PIM_15836
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Fuel Transfer Pumps (Manual),PIM_15837
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Oil Drainers with Containers,PIM_15860
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Oil Drainers without Containers,PIM_15861
Marketplace Categories > Automotive > Fluid Extraction & Fuel Cans > Siphon Hoses,PIM_13304
Marketplace Categories > Automotive > In-Vehicle Devices > 12V Adaptors,PIM_13277
Marketplace Categories > Automotive > In-Vehicle Devices > 12V Car Thermometers,PIM_15881
Marketplace Categories > Automotive > In-Vehicle Devices > Automotive Speakers,PIM_15830
Marketplace Categories > Automotive > In-Vehicle Devices > Automotive Stereos,PIM_15831
Marketplace Categories > Automotive > In-Vehicle Devices > Dash Cams,PIM_13278
Marketplace Categories > Automotive > In-Vehicle Devices > Digital Car Clock Thermometers (Battery-Powered),PIM_15880
Marketplace Categories > Automotive > In-Vehicle Devices > Digital Car Clock Thermometers (Solar-Powered),PIM_15891
Marketplace Categories > Automotive > In-Vehicle Devices > In-Vehicle Device Holders,PIM_13279
Marketplace Categories > Automotive > In-Vehicle Devices > Smart Sat Navs,PIM_16129
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Axle Stands",PIM_13280
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Chocks",PIM_13281
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Foldable Ramps",PIM_15172
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Jacks",PIM_13282
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Ramps",PIM_13283
"Marketplace Categories > Automotive > Jacks, Stands & Ramps > Wheel Stands",PIM_14852
Marketplace Categories > Automotive > Loading & Strapping > Cargo Nets,PIM_13286
Marketplace Categories > Automotive > Loading & Strapping > Ratchet Straps & Lashing,PIM_13288
Marketplace Categories > Automotive > Loading & Strapping > Ratchet Straps & Lashing Sets,PIM_13287
Marketplace Categories > Automotive > Mechanics Tools > Automotive Wire Brushes,PIM_14888
Marketplace Categories > Automotive > Mechanics Tools > Ball Joint Pullers,PIM_13305
Marketplace Categories > Automotive > Mechanics Tools > Ball Joint Separators,PIM_13306
Marketplace Categories > Automotive > Mechanics Tools > Belt Tension Meters,PIM_14680
Marketplace Categories > Automotive > Mechanics Tools > Bolt & Nut Extractors,PIM_14686
Marketplace Categories > Automotive > Mechanics Tools > Brake Bleeder Kits,PIM_13307
Marketplace Categories > Automotive > Mechanics Tools > Brake Pad Gauges,PIM_13308
